"Name","Version","License"
"Arpeggio","2.0.2","MIT License"
"Deprecated","1.2.14","MIT License"
"Flask","3.1.1","UNKNOWN"
"Jinja2","3.1.6","BSD License"
"MarkupSafe","3.0.2","BSD License"
"PyGithub","1.59.1","GNU Library or Lesser General Public License (LGPL)"
"PyJWT","2.10.1","MIT License"
"PyNaCl","1.5.0","Apache License 2.0"
"PyYAML","6.0.1","MIT License"
"Werkzeug","3.1.3","BSD License"
"aiohttp","3.9.0","Apache Software License"
"aiosignal","1.3.1","Apache Software License"
"appdirs","1.4.4","MIT License"
"astroid","3.0.3","GNU Lesser General Public License v2 (LGPLv2)"
"attrs","24.2.0","MIT License"
"bcrypt","4.2.0","Apache Software License"
"black","19.10b0","MIT License"
"black","22.3.0","MIT License"
"blinker","1.9.0","MIT License"
"boto3","1.35.94","Apache Software License"
"botocore","1.35.94","Apache Software License"
"bytecode","0.15.1","MIT License"
"cachetools","5.5.0","MIT License"
"certifi","2024.8.30","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","1.17.1","MIT License"
"charset-normalizer","2.1.1","MIT License"
"click","7.1.2","BSD License"
"click","8.1.8","BSD License"
"codeowners","0.6.0","MIT License"
"colorama","0.4.4","BSD License"
"contourpy","1.3.0","BSD License"
"crossplane","0.5.8","Apache Software License"
"cryptography","43.0.3","Apache Software License; BSD License"
"cycler","0.12.1","BSD License"
"decorator","5.1.1","BSD License"
"dictdiffer","0.9.0","MIT License"
"dill","0.3.9","BSD License"
"docker","6.1.3","Apache Software License"
"docker-squash","1.1.0","MIT"
"docutils","0.16","BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License"
"dulwich","0.21.6","Apache Software License"
"envier","0.6.1","MIT License"
"execnet","2.1.1","MIT License"
"filelock","3.12.2","The Unlicense (Unlicense)"
"fonttools","4.54.1","MIT License"
"frozenlist","1.5.0","Apache Software License"
"google-auth","2.36.0","Apache Software License"
"grpcio","1.60.2","Apache Software License"
"idna","3.10","BSD License"
"importlib_metadata","8.4.0","Apache Software License"
"iniconfig","2.0.0","MIT License"
"invoke","2.2.0","BSD License"
"isort","5.13.2","MIT License"
"itsdangerous","2.2.0","BSD License"
"jmespath","1.0.1","MIT License"
"jsonschema","4.16.0","MIT License"
"kiwisolver","1.4.7","BSD License"
"kubernetes","29.0.0","Apache Software License"
"matplotlib","3.9.2","Python Software Foundation License"
"mccabe","0.7.0","MIT License"
"msgpack","1.0.4","Apache Software License"
"multidict","6.1.0","Apache Software License"
"mypy","1.10.0","MIT License"
"mypy-extensions","1.0.0","MIT License"
"mypy_extensions","1.1.0","UNKNOWN"
"numpy","2.1.3","BSD License"
"oauthlib","3.2.2","BSD License"
"opentelemetry-api","1.27.0","Apache Software License"
"packaging","24.1","Apache Software License; BSD License"
"parameterized","0.9.0","BSD License"
"paramiko","3.4.1","GNU Library or Lesser General Public License (LGPL)"
"parver","0.5","MIT License"
"pathspec","0.12.1","Mozilla Public License 2.0 (MPL 2.0)"
"pbr","6.1.0","Apache Software License"
"pexpect","4.9.0","ISC License (ISCL)"
"pillow","11.0.0","CMU License (MIT-CMU)"
"platformdirs","4.3.6","MIT License"
"platformdirs","4.3.8","MIT License"
"pluggy","1.5.0","MIT License"
"protobuf","4.25.5","3-Clause BSD License"
"psutil","6.0.0","BSD License"
"ptyprocess","0.7.0","ISC License (ISCL)"
"pulumi","3.116.0","Apache 2.0"
"pulumi_aws","6.38.0","Apache-2.0"
"pulumi_command","0.11.1","Apache-2.0"
"pulumi_tls","5.0.3","Apache-2.0"
"py","1.11.0","MIT License"
"pyasn1","0.6.1","BSD License"
"pyasn1_modules","0.4.1","BSD License"
"pycparser","2.22","BSD License"
"pylint","3.0.4","GNU General Public License v2 (GPLv2)"
"pyparsing","3.2.0","MIT License"
"pyrsistent","0.20.0","MIT License"
"pytest","8.3.3","MIT License"
"pytest-json-report","1.5.0","MIT"
"pytest-metadata","3.1.1","Mozilla Public License 2.0 (MPL 2.0)"
"pytest-split","0.9.0","MIT License"
"pytest-xdist","3.2.1","MIT License"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License"
"python-gitlab","4.4.0","GNU Lesser General Public License v3 (LGPLv3)"
"python-vagrant","1.0.0","MIT License"
"pyyaml-include","1.3","GNU General Public License v3 or later (GPLv3+)"
"regex","2024.11.6","Apache Software License"
"reno","3.5.0","Apache Software License"
"requests","2.31.0","Apache Software License"
"requests-oauthlib","2.0.0","BSD License"
"requests-toolbelt","1.0.0","Apache Software License"
"retry","0.9.2","Apache Software License"
"rfc3339-validator","0.1.4","MIT License"
"rsa","4.7.2","Apache Software License"
"ruff","0.3.5","MIT License"
"s3transfer","0.10.4","Apache Software License"
"scp","0.14.5","GNU Library or Lesser General Public License (LGPL)"
"semantic-version","2.10.0","BSD License"
"semver","2.10.0","BSD License"
"six","1.16.0","MIT License"
"structlog","24.2.0","Apache Software License; MIT License"
"toml","0.10.2","MIT License"
"tomlkit","0.13.2","MIT License"
"typed_ast","1.5.5","Apache License 2.0"
"types-PyYAML","6.0.12.20240311","Apache Software License"
"types-requests","2.30.0.0","Apache Software License"
"types-tabulate","0.9.0.20240106","Apache Software License"
"types-toml","0.10.8.20240310","Apache Software License"
"types-urllib3","1.26.25.14","Apache Software License"
"typing_extensions","4.12.2","Python Software Foundation License"
"ujson","5.10.0","BSD License"
"urllib3","2.2.3","MIT License"
"vulture","2.6","MIT License"
"watchdog","3.0.0","Apache Software License"
"websocket-client","1.8.0","Apache Software License"
"wrapt","1.16.0","BSD License"
"xmltodict","0.14.1","MIT License"
"yarl","1.9.4","Apache Software License"
"zipp","3.20.2","MIT License"
